"SCHOOLID","SEX","PPED","REPEAT","MSESC"
"10103","girl","no",0,0.88
"10103","girl","no",0,0.88
"10103","girl","yes",0,0.88
"10103","girl","yes",0,0.88
"10103","girl","yes",0,0.88
"10103","girl","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",0,0.88
"10103","boy","yes",1,0.88
"10104","girl","no",0,0.2
"10104","girl","no",0,0.2
"10104","girl","no",0,0.2
"10104","girl","no",0,0.2
"10104","girl","no",0,0.2
"10104","girl","no",0,0.2
"10104","girl","no",0,0.2
"10104","girl","yes",0,0.2
"10104","girl","yes",0,0.2
"10104","girl","yes",0,0.2
"10104","girl","yes",0,0.2
"10104","girl","yes",0,0.2
"10104","girl","yes",0,0.2
"10104","girl","yes",0,0.2
"10104","girl","yes",0,0.2
"10104","boy","no",0,0.2
"10104","boy","no",0,0.2
"10104","boy","no",0,0.2
"10104","boy","no",0,0.2
"10104","boy","no",0,0.2
"10104","boy","no",0,0.2
"10104","boy","yes",0,0.2
"10104","boy","yes",0,0.2
"10104","boy","yes",0,0.2
"10104","boy","yes",0,0.2
"10104","boy","yes",0,0.2
"10104","boy","yes",0,0.2
"10104","boy","yes",0,0.2
"10104","boy","yes",0,0.2
"10105","girl","no",0,-0.07
"10105","girl","no",0,-0.07
"10105","girl","no",0,-0.07
"10105","girl","yes",0,-0.07
"10105","girl","yes",0,-0.07
"10105","girl","yes",0,-0.07
"10105","girl","yes",1,-0.07
"10105","girl","yes",1,-0.07
"10105","boy","no",0,-0.07
"10105","boy","no",0,-0.07
"10105","boy","no",1,-0.07
"10105","boy","yes",0,-0.07
"10105","boy","yes",0,-0.07
"10105","boy","yes",0,-0.07
"10105","boy","yes",0,-0.07
"10105","boy","yes",0,-0.07
"10105","boy","yes",1,-0.07
"10105","boy","yes",1,-0.07
"10106","girl","yes",0,0.47
"10106","girl","yes",0,0.47
"10106","boy","yes",0,0.47
"10106","boy","yes",0,0.47
"10106","boy","yes",0,0.47
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",0,0.76
"10108","girl","yes",1,0.76
"10108","boy","yes",0,0.76
"10108","boy","yes",0,0.76
"10108","boy","yes",0,0.76
"10108","boy","yes",0,0.76
"10108","boy","yes",0,0.76
"10108","boy","yes",1,0.76
"10108","boy","yes",1,0.76
"10109","girl","yes",0,1.06
"10109","girl","yes",0,1.06
"10109","girl","yes",0,1.06
"10109","girl","yes",0,1.06
"10109","girl","yes",0,1.06
"10109","girl","yes",0,1.06
"10109","girl","yes",0,1.06
"10109","girl","yes",0,1.06
"10109","girl","yes",1,1.06
"10109","girl","yes",1,1.06
"10109","girl","yes",1,1.06
"10109","boy","no",0,1.06
"10109","boy","no",0,1.06
"10109","boy","no",1,1.06
"10109","boy","yes",0,1.06
